# ids, mstar, gas_mass, sfr, sfr_compact, gas_Z, rstar, rgas
0.000000000000000000e+00,1.273529529571533203e+01,1.335820102691650391e+01,9.707590341567993164e-01,0.000000000000000000e+00,9.765802882611751556e-03,4.759546661376953125e+01,6.396659545898437500e+02
9.000000000000000000e+00,1.078401470184326172e+01,8.978498458862304688e+00,1.987650804221630096e-02,0.000000000000000000e+00,4.493367671966552734e-02,6.688659191131591797e+00,1.164797306060791016e+01
1.100000000000000000e+01,1.056752586364746094e+01,9.260941505432128906e+00,4.095458090305328369e-01,4.095458090305328369e-01,5.089815333485603333e-02,8.344503402709960938e+00,5.450276374816894531e+00
1.200000000000000000e+01,1.055526161193847656e+01,1.008973312377929688e+01,2.846583843231201172e+00,1.990973114967346191e+00,3.038495220243930817e-02,9.389428138732910156e+00,1.201154613494873047e+01
1.400000000000000000e+01,1.026754951477050781e+01,9.953372955322265625e+00,1.907480806112289429e-01,0.000000000000000000e+00,1.009296253323554993e-02,1.022151947021484375e+00,3.260256576538085938e+01
1.800000000000000000e+01,1.025953388214111328e+01,9.688947677612304688e+00,4.992030262947082520e-01,4.692909121513366699e-01,2.471531555056571960e-02,4.404541492462158203e+00,1.947359848022460938e+01
2.000000000000000000e+01,1.029408740997314453e+01,9.614520072937011719e+00,2.425919771194458008e+00,2.332443237304687500e+00,3.693205118179321289e-02,9.548368453979492188e+00,7.108861923217773438e+00
2.400000000000000000e+01,1.019507122039794922e+01,7.061934471130371094e+00,3.042075783014297485e-03,3.042075783014297485e-03,4.626246914267539978e-02,2.683756828308105469e+00,7.668286561965942383e-01
2.500000000000000000e+01,9.739327430725097656e+00,9.803778648376464844e+00,4.552128911018371582e-01,2.430451065301895142e-01,2.349316328763961792e-02,1.438935160636901855e+00,1.025358295440673828e+01
2.600000000000000000e+01,9.529150962829589844e+00,9.952191352844238281e+00,7.735053300857543945e-01,2.992643713951110840e-01,1.239109598100185394e-02,4.658769130706787109e+00,1.462182903289794922e+01
2.800000000000000000e+01,9.907828330993652344e+00,9.266945838928222656e+00,4.769428670406341553e-01,2.222838699817657471e-01,2.861624211072921753e-02,1.780717730522155762e+00,4.672831535339355469e+00
3.300000000000000000e+01,9.785866737365722656e+00,9.987103462219238281e+00,1.287303566932678223e+00,1.081406354904174805e+00,1.608022302389144897e-02,2.732720613479614258e+00,2.234003067016601562e+01
3.500000000000000000e+01,9.737352371215820312e+00,8.317602157592773438e+00,3.822356462478637695e-02,3.822356462478637695e-02,4.826301336288452148e-02,2.650859355926513672e+00,6.524324893951416016e+00
4.200000000000000000e+01,9.399758338928222656e+00,9.734238624572753906e+00,5.124397277832031250e-01,2.232270538806915283e-01,1.300655305385589600e-02,3.554182291030883789e+00,1.189414787292480469e+01
