galaxy_id	los	IOB1	IOB2	IOB3	IOB4	IOB5	IOB6	IOB7	IOB8	A_1000A	A_1047A	A_1096A	A_1148A	A_1203A	A_1260A	A_1320A	A_1382A	A_1448A	A_1516A	A_1588A	A_1663A	A_1742A	A_1825A	A_1911A	A_2002A	A_2097A	A_2196A	A_2300A	A_2409A	A_2523A	A_2643A	A_2768A	A_2899A	A_3036A	A_3180A	A_3331A	A_3489A	A_3654A	A_3827A	A_4008A	A_4198A	A_4397A	A_4605A	A_4824A	A_5052A	A_5291A	A_5542A	A_5805A	A_6080A	A_6368A	A_6669A	A_6985A	A_7316A	A_7663A	A_8026A	A_8406A	A_8804A	A_9221A	A_9658A	galaxy_id	logMstar [Msun]	logMgas [Msun]	SFR [Msun/yr]	SFR_compact [Msun/yr]	Zgas [mass fraction]	Rstar [kpc]	Rgas [kpc]	logMdust [Msun]	Sigma_SFR [Msun/yr/kpc^2]	sSFR [1/yr]
524576.000000	28.000000	-0.057096	0.004003	-0.001398	0.001051	-0.000840	0.000889	0.001335	-0.001133	1.331716	1.369356	1.322410	1.293403	1.153549	1.251054	1.257975	1.230821	1.219061	1.166306	1.165531	1.164653	1.150035	1.171504	1.188025	1.270822	1.346638	1.375190	1.300282	1.191662	1.130840	1.105049	1.063916	1.050223	1.038668	1.014264	0.986009	0.954345	0.926136	0.909090	0.891051	0.859328	0.829833	0.793266	0.761587	0.724945	0.696537	0.665190	0.636018	0.611970	0.581614	0.557530	0.535471	0.513142	0.493681	0.474136	0.457700	0.443870	0.427072	0.412474	524576.000000	10.303802	10.714520	1.341892	0.593699	0.021393	2.842095	98.004654	7.442964	0.052880	0.130233
683079.000000	39.000000	0.016162	0.014319	-0.011058	-0.005481	-0.001857	-0.006859	-0.000036	-0.001860	0.632505	0.623358	0.577927	0.546261	0.503565	0.494692	0.472573	0.445566	0.427864	0.400946	0.386672	0.379706	0.367623	0.365705	0.371991	0.405113	0.438471	0.448238	0.404281	0.352376	0.313264	0.277836	0.259262	0.239490	0.224329	0.208717	0.189308	0.174616	0.159951	0.147725	0.129530	0.119853	0.110082	0.098825	0.090140	0.081014	0.073685	0.065801	0.058555	0.053943	0.048006	0.043984	0.041205	0.038905	0.037760	0.037327	0.037478	0.037740	0.036609	0.036268	683079.000000	9.138786	10.061392	0.278791	0.091135	0.009263	3.918762	31.738298	6.872261	0.005779	0.030506
419176.000000	18.000000	0.147944	-0.031180	-0.043807	0.024374	-0.028433	-0.022356	-0.001905	-0.003123	0.467688	0.450572	0.410795	0.380806	0.346065	0.329054	0.309744	0.288543	0.271377	0.251549	0.234720	0.219912	0.206914	0.199875	0.204080	0.230167	0.262116	0.268996	0.225379	0.172499	0.136093	0.114377	0.099947	0.092599	0.087490	0.079637	0.073489	0.066668	0.060702	0.049122	0.048148	0.042614	0.038300	0.036184	0.031425	0.024956	0.021809	0.018133	0.014888	0.011766	0.008568	0.007072	0.006481	0.005594	0.006126	0.006906	0.008841	0.010519	0.011351	0.012104	419176.000000	9.722306	10.031602	0.437477	0.144056	0.016171	5.067492	18.160547	7.405688	0.005423	0.044997
533793.000000	1.000000	-0.046068	-0.001357	0.002156	-0.003055	0.000878	-0.000120	0.000846	-0.001181	3.437889	3.359442	3.224409	3.102229	2.998663	2.910990	2.826400	2.749463	2.676674	2.598141	2.535845	2.497234	2.458936	2.454801	2.489188	2.599349	2.710226	2.726715	2.582830	2.409805	2.261531	2.100789	2.026364	1.927960	1.860086	1.787172	1.697601	1.622017	1.546070	1.533448	1.441861	1.387771	1.326440	1.255597	1.197172	1.144893	1.099951	1.053938	1.012087	0.972801	0.933792	0.899765	0.871540	0.840985	0.815536	0.793937	0.775832	0.765663	0.739718	0.725119	533793.000000	10.185971	10.673258	3.379085	1.899358	0.023954	4.739918	88.616058	7.732360	0.047875	0.331739
418505.000000	16.000000	0.009780	0.023803	-0.017321	-0.007356	-0.005911	-0.006574	0.000155	-0.001911	1.710341	1.689763	1.577469	1.487685	1.386898	1.355863	1.305762	1.240771	1.191884	1.129637	1.084973	1.062324	1.038933	1.032521	1.059255	1.153844	1.255072	1.283036	1.162686	1.013041	0.894777	0.805622	0.750822	0.706614	0.671197	0.629896	0.586560	0.545991	0.504391	0.463955	0.419136	0.385971	0.352905	0.319034	0.285964	0.254211	0.225675	0.196052	0.170797	0.147308	0.126222	0.108942	0.096109	0.085294	0.078202	0.076224	0.074245	0.073516	0.067564	0.065018	418505.000000	10.111115	9.929277	2.783320	0.988567	0.024179	3.558128	7.513017	8.156125	0.069979	0.275273
712128.000000	7.000000	-0.032165	0.012107	0.002522	-0.004092	-0.001544	-0.002295	0.000725	-0.001370	1.977093	2.034596	1.940672	1.874652	1.782820	1.795421	1.763691	1.691512	1.651290	1.574492	1.544759	1.549350	1.524429	1.513354	1.514642	1.590633	1.640210	1.661694	1.570405	1.483170	1.390130	1.252078	1.203565	1.115426	1.056413	1.000094	0.926506	0.869621	0.806559	0.774869	0.696350	0.661985	0.627004	0.587075	0.555357	0.524877	0.497581	0.469473	0.446329	0.423790	0.399029	0.379563	0.364054	0.348373	0.334366	0.323359	0.313399	0.309007	0.293964	0.285360	712128.000000	9.079617	9.806993	0.115485	0.053561	0.022350	1.014613	37.450077	6.522661	0.035709	0.012719
456013.000000	5.000000	0.011998	-0.029305	0.001881	0.005893	-0.009916	-0.007251	-0.000145	-0.001572	1.503226	1.446590	1.348285	1.274472	1.175770	1.115434	1.056052	0.994916	0.946806	0.898761	0.845116	0.804791	0.755895	0.732733	0.738105	0.788412	0.826766	0.821595	0.732282	0.641841	0.557995	0.454089	0.419302	0.379486	0.353640	0.330590	0.306744	0.284895	0.265957	0.248304	0.234526	0.219907	0.207639	0.193662	0.180644	0.168197	0.157438	0.147713	0.138307	0.130157	0.121399	0.114635	0.107546	0.101577	0.096207	0.091959	0.086991	0.082869	0.078853	0.074948	456013.000000	9.152384	9.042261	0.034190	0.020177	0.022231	1.600067	9.501842	6.443588	0.004251	0.003736
505673.000000	21.000000	-0.016753	-0.001573	-0.001289	-0.005412	0.003892	-0.002644	0.000320	-0.001418	2.336901	2.280943	2.137267	2.020170	1.964196	1.846571	1.758208	1.664702	1.600631	1.526163	1.469331	1.449379	1.421768	1.407471	1.430057	1.521599	1.605735	1.625806	1.496143	1.358112	1.234015	1.090989	1.031765	0.949922	0.895304	0.838797	0.772072	0.718381	0.663774	0.641248	0.577791	0.544897	0.511979	0.472268	0.443159	0.415713	0.391520	0.366075	0.346937	0.330236	0.311793	0.295972	0.285673	0.275096	0.265403	0.260858	0.256832	0.257842	0.250365	0.248905	505673.000000	10.407980	10.951445	3.252760	1.787149	0.018545	6.270114	86.991699	7.960177	0.026336	0.312526
213201.000000	9.000000	0.063660	-0.021775	-0.004755	-0.007439	0.019248	-0.008546	-0.001269	-0.001911	3.946004	3.674597	3.430603	3.199626	3.066316	2.810045	2.574614	2.424797	2.293504	2.181544	2.070275	1.993243	1.911832	1.875403	1.905930	2.018400	2.096838	2.090784	1.893915	1.727629	1.525062	1.190141	1.115329	0.941016	0.844181	0.762318	0.662445	0.596444	0.530516	0.517138	0.436420	0.400004	0.369178	0.333218	0.308206	0.283543	0.265307	0.244584	0.228584	0.213308	0.199767	0.187388	0.176892	0.166596	0.159275	0.153323	0.148943	0.144717	0.139001	0.134753	213201.000000	10.132418	9.971909	0.274583	0.271874	0.021446	5.597003	17.934881	7.809102	0.002790	0.027099
537271.000000	21.000000	0.021978	0.029467	-0.002019	-0.013362	-0.009407	-0.009150	-0.000108	-0.001921	1.158242	1.165059	1.094771	1.050500	1.007469	0.964262	0.943754	0.894899	0.867936	0.835349	0.798605	0.785068	0.770050	0.751164	0.761793	0.799398	0.836002	0.846418	0.773928	0.705731	0.645881	0.570454	0.545903	0.497612	0.465306	0.435340	0.394351	0.363678	0.328080	0.298941	0.251855	0.231440	0.211486	0.189632	0.171079	0.151956	0.137542	0.122079	0.109684	0.098456	0.087104	0.077535	0.072779	0.066111	0.062440	0.061346	0.061097	0.063159	0.059261	0.059568	537271.000000	10.066277	10.557874	0.672236	0.371808	0.024226	3.461861	96.415398	7.462477	0.017855	0.066781
