galaxy_id	los	IOB1	IOB2	IOB3	IOB4	IOB5	IOB6	IOB7	IOB8	A_1000A	A_1047A	A_1096A	A_1148A	A_1203A	A_1260A	A_1320A	A_1382A	A_1448A	A_1516A	A_1588A	A_1663A	A_1742A	A_1825A	A_1911A	A_2002A	A_2097A	A_2196A	A_2300A	A_2409A	A_2523A	A_2643A	A_2768A	A_2899A	A_3036A	A_3180A	A_3331A	A_3489A	A_3654A	A_3827A	A_4008A	A_4198A	A_4397A	A_4605A	A_4824A	A_5052A	A_5291A	A_5542A	A_5805A	A_6080A	A_6368A	A_6669A	A_6985A	A_7316A	A_7663A	A_8026A	A_8406A	A_8804A	A_9221A	A_9658A	galaxy_id	logMstar [Msun]	logMgas [Msun]	SFR [Msun/yr]	SFR_compact [Msun/yr]	Zgas [mass fraction]	Rstar [kpc]	Rgas [kpc]	logMdust [Msun]	Sigma_SFR [Msun/yr/kpc^2]	sSFR [1/yr]
439255.000000	24.000000	-0.036179	0.031576	0.001933	-0.000825	0.001729	0.000505	0.001752	0.000061	4.400667	4.339692	4.194639	4.061065	4.230962	3.880070	3.661919	3.505109	3.360805	3.227198	3.056677	2.900185	2.711413	2.486441	2.298587	2.131413	1.974670	1.862502	1.767255	1.739673	1.662617	1.447937	1.412300	1.258098	1.171615	1.094134	0.989067	0.920386	0.843062	0.860449	0.742792	0.708372	0.665987	0.610632	0.572663	0.550721	0.520722	0.496162	0.472013	0.453849	0.432783	0.416129	0.398292	0.381220	0.367480	0.350802	0.336809	0.326976	0.311227	0.303274	439255.000000	10.666698	11.293262	4.454946	4.037601	0.022731	2.256604	143.972839	7.410112	0.278472	0.417650
517936.000000	46.000000	0.135702	-0.013871	0.006045	-0.001724	0.002641	0.003079	0.002561	-0.000441	2.293474	2.275934	2.153408	2.079239	2.120348	1.940440	1.840210	1.741907	1.646952	1.525671	1.385854	1.251029	1.104799	0.944701	0.816198	0.712529	0.622502	0.558271	0.501896	0.467988	0.431068	0.376122	0.353705	0.316070	0.290992	0.269065	0.245122	0.225940	0.208265	0.195233	0.179005	0.169445	0.160542	0.151045	0.143569	0.136131	0.130830	0.124296	0.119099	0.113885	0.107544	0.103384	0.098650	0.094453	0.089585	0.086384	0.083574	0.080842	0.077381	0.074369	517936.000000	10.204440	10.894045	0.739023	0.264951	0.020670	4.795026	47.804398	7.884698	0.010231	0.072422
484997.000000	14.000000	-0.026702	-0.031691	0.000054	-0.001346	0.001868	-0.000097	0.003123	-0.001627	1.159303	1.127692	1.052173	1.001325	0.985785	0.930357	0.882501	0.832176	0.783682	0.707876	0.643190	0.579593	0.510562	0.447283	0.387352	0.348790	0.314627	0.289301	0.265834	0.247034	0.232126	0.220456	0.208089	0.200822	0.192362	0.182306	0.175631	0.167528	0.160699	0.145142	0.140819	0.135099	0.130949	0.126773	0.123504	0.117243	0.114155	0.110171	0.105070	0.101159	0.096043	0.091999	0.088974	0.085075	0.081374	0.078364	0.075108	0.072713	0.070369	0.067554	484997.000000	10.144556	11.043386	1.652590	0.506622	0.024313	2.041720	104.310753	7.469009	0.126189	0.162904
551538.000000	31.000000	0.040301	-0.006304	0.002587	-0.000299	0.001848	0.002124	0.001071	-0.000141	1.416071	1.437313	1.368194	1.316352	1.245283	1.238019	1.209579	1.142555	1.082122	0.978305	0.888643	0.798258	0.697507	0.607930	0.531511	0.476904	0.430308	0.399137	0.368308	0.346051	0.326671	0.297265	0.281722	0.260036	0.242744	0.228157	0.211403	0.197254	0.183471	0.171972	0.158110	0.150342	0.142109	0.133475	0.126535	0.120125	0.113928	0.107776	0.102175	0.097429	0.091907	0.087613	0.082824	0.078560	0.074697	0.070792	0.067494	0.064155	0.061006	0.058084	551538.000000	10.103521	10.678319	0.561079	0.101985	0.015849	5.727178	33.308201	7.797867	0.005445	0.055533
320705.000000	46.000000	-0.116712	0.012827	-0.000855	0.000482	0.000834	0.000602	0.002032	-0.002064	7.834743	7.621559	7.260634	6.828726	7.364985	6.528785	6.045162	5.809317	5.616078	5.432401	5.238449	5.139110	4.912164	4.699752	4.497525	4.355760	4.137374	4.047375	3.962678	4.069467	3.989978	3.464781	3.472712	3.081192	2.896267	2.754803	2.535589	2.416148	2.242665	2.382742	2.090705	2.015984	1.905425	1.765709	1.684148	1.643832	1.578052	1.520270	1.472201	1.434528	1.392538	1.360406	1.335999	1.304522	1.280191	1.260987	1.237950	1.230895	1.183142	1.180993	320705.000000	10.078281	8.829292	2.239446	2.014743	0.069382	0.503467	0.429359	7.205264	2.812216	0.222205
142220.000000	8.000000	-0.143306	-0.002955	-0.002088	-0.000107	0.000130	-0.000158	0.004184	-0.003427	6.416559	6.281808	6.108174	5.944766	6.089384	5.738289	5.568088	5.408034	5.307577	5.133301	4.915414	4.747868	4.483190	4.253792	4.026114	3.874221	3.670787	3.562116	3.459961	3.482008	3.389869	3.090223	3.065752	2.854095	2.737292	2.638711	2.506433	2.415399	2.321032	2.312643	2.154924	2.099763	2.040100	1.955000	1.904511	1.864059	1.818273	1.772883	1.735507	1.703931	1.658882	1.628408	1.596130	1.565630	1.536972	1.508308	1.484071	1.469076	1.436651	1.419908	142220.000000	9.398677	8.193797	0.614589	0.291387	0.059679	0.169960	0.280341	6.325538	6.772394	0.065391
609672.000000	44.000000	0.305406	-0.044516	0.007788	0.004785	-0.001116	0.002942	-0.005020	-0.000691	1.116198	1.122940	1.053879	1.007065	0.989020	0.945951	0.901884	0.844903	0.793277	0.715456	0.644382	0.576182	0.495472	0.419315	0.348705	0.298652	0.255744	0.228143	0.201583	0.187990	0.170055	0.148758	0.140233	0.125900	0.115506	0.106457	0.096297	0.088578	0.080252	0.070437	0.062040	0.057746	0.054286	0.051119	0.048270	0.045760	0.042596	0.040214	0.038765	0.036553	0.034048	0.032789	0.031411	0.030119	0.028800	0.027676	0.027043	0.026200	0.025754	0.024774	609672.000000	9.025398	9.566673	0.191515	0.117110	0.010367	1.883124	18.317764	6.433407	0.017191	0.021220
506201.000000	12.000000	-0.067324	0.019863	0.000685	0.000158	0.000709	0.000573	0.001345	0.000309	3.187496	3.098187	2.956890	2.854537	2.903928	2.689495	2.580483	2.473982	2.375112	2.254784	2.114217	1.988852	1.865107	1.727433	1.618201	1.526977	1.437374	1.367362	1.302382	1.266273	1.213469	1.102790	1.067395	0.983459	0.925025	0.873030	0.808479	0.757213	0.706407	0.674609	0.602567	0.574044	0.546034	0.511522	0.485911	0.461627	0.441901	0.419055	0.399972	0.382755	0.363805	0.346606	0.331985	0.316700	0.302385	0.288555	0.277173	0.267912	0.255194	0.245763	506201.000000	10.373200	10.977813	2.608233	1.490246	0.020724	3.452237	52.825748	7.871082	0.069662	0.251440
550736.000000	49.000000	-0.053199	0.071160	0.002097	0.001305	-0.000756	-0.000523	0.000255	0.000368	1.489187	1.583809	1.507310	1.457614	1.290862	1.448421	1.449255	1.387572	1.360182	1.231177	1.204833	1.194892	1.125276	1.083901	1.003044	0.995886	0.934821	0.914818	0.873903	0.859112	0.846922	0.745687	0.722437	0.636190	0.590781	0.544668	0.482678	0.441070	0.397269	0.430028	0.360571	0.337532	0.311189	0.273301	0.250688	0.237081	0.221581	0.205783	0.193307	0.183620	0.172718	0.163961	0.157683	0.149552	0.144065	0.138335	0.133560	0.133111	0.123814	0.122942	550736.000000	10.081594	10.523618	0.586710	0.416944	0.012293	7.112425	67.746651	7.351684	0.003692	0.058196
252714.000000	17.000000	-0.115139	0.006489	0.000225	0.000432	0.000416	0.000934	0.003150	-0.002943	7.285148	7.232651	7.065134	6.774229	6.927332	6.537477	6.054274	5.771637	5.559710	5.275514	5.057998	4.938109	4.665695	4.419218	4.167906	3.999676	3.754118	3.661085	3.537778	3.573817	3.497175	3.056385	3.043992	2.729829	2.573790	2.440846	2.255624	2.154268	2.022466	2.108690	1.875133	1.819561	1.733030	1.630465	1.568751	1.527626	1.481903	1.434728	1.396384	1.364307	1.327337	1.297080	1.276901	1.250439	1.226841	1.202835	1.183300	1.172856	1.139951	1.131988	252714.000000	9.453099	8.060800	0.366763	0.306519	0.067378	0.272553	0.267985	6.321487	1.571565	0.038798
542766.000000	11.000000	-0.095236	-0.012465	0.000005	-0.000749	0.000224	-0.000218	0.004780	-0.002973	1.216359	1.247357	1.187341	1.145842	1.068397	1.098058	1.083866	1.035884	0.995497	0.908662	0.842504	0.780755	0.701185	0.631588	0.564103	0.520959	0.479469	0.452033	0.421023	0.394335	0.377879	0.364863	0.348537	0.336770	0.325206	0.314350	0.303303	0.289729	0.279427	0.262596	0.255579	0.245956	0.239303	0.230189	0.223890	0.213681	0.206807	0.200761	0.192999	0.186498	0.178691	0.171869	0.166667	0.159869	0.154412	0.149924	0.144406	0.141164	0.136730	0.131975	542766.000000	9.270397	9.959752	0.554033	0.205316	0.017749	1.425733	35.037865	6.726273	0.086758	0.059764
