# mstar_bin	bin_left	bin_right	galaxy_id	logMstar[Msun]	logMgas[Msun]	SFR[Msun/yr]	SFR_compact[Msun/yr]	Zgas[mass_fraction]	Rstar[kpc]	Rgas[kpc]	logMdust[Msun]	Sigma_SFR[Msun/yr/kpc^2]	sSFR[1/yr]	Av_med
0	9.004663	9.1099952	704621	9.088201	9.933118	0.100637	0.033882	0.010131	4.320058	26.383543	6.833127	0.001716	0.011073	0.171155
0	9.004663	9.1099952	720559	9.07772	9.70773	0.125891	0.104938	0.006354	3.755606	25.916674	6.538071	0.002841	0.013868	0.07708899999999999
0	9.004663	9.1099952	721405	9.071683	9.714971	0.081966	0.050913	0.012083	2.578249	41.934155	6.5036	0.003925	0.009035	0.0795
0	9.004663	9.1099952	727460	9.099687	9.711849	0.075679	0.020649	0.018888	2.195577	34.554749	6.671645	0.004997	0.008317	0.13940650000000002
0	9.004663	9.1099952	252705	9.080075	9.781399	0.16687	0.085777	0.011894	2.981508	21.54155	6.73117	0.005975	0.018378	0.130731
0	9.004663	9.1099952	696147	9.040757	9.950006	0.326493	0.116333	0.009314	3.823962	24.500277	6.835021	0.007107	0.036113	0.10635800000000001
0	9.004663	9.1099952	684683	9.008236	10.099025	0.171299	0.071866	0.010808	2.58409	31.760902	6.617778	0.008166	0.019016	0.126601
0	9.004663	9.1099952	693264	9.010471	10.040236	0.242963	0.087608	0.010714	2.77985	41.346195	6.685117	0.010008	0.026964	0.06580649999999999
0	9.004663	9.1099952	69113	9.056178	9.104597	0.057179	0.023529	0.013508	1.286629	8.491821	6.302078	0.010995	0.006314	0.125153
0	9.004663	9.1099952	659705	9.081554	10.025248	0.451957	0.23369	0.00953	3.399648	22.577528	6.814523	0.012447	0.049767	0.147078
0	9.004663	9.1099952	288375	9.104932	9.518773	0.275528	0.046906	0.012739	2.35831	9.860957	7.043857	0.015769	0.030261	0.0623035
0	9.004663	9.1099952	609672	9.025398	9.566673	0.191515	0.11711	0.010367	1.883124	18.317764	6.433407	0.017191	0.02122	0.156323
0	9.004663	9.1099952	735134	9.082378	9.647263	0.141526	0.119114	0.019214	1.439653	35.606098	6.487375	0.021736	0.015582	0.327463
0	9.004663	9.1099952	100774	9.071707	9.659715	0.116023	0.040348	0.014739	1.130853	40.302673	6.258872	0.028879	0.01279	0.141895
0	9.004663	9.1099952	567144	9.107295	9.659188	0.199316	0.079141	0.018506	1.325026	13.759643	6.669573	0.036136	0.021885	0.1482035
1	9.1099952	9.204086199999999	698390	9.163968	9.894855	0.078168	0.04891	0.007964	4.08253	38.560234	6.613934	0.001493	0.00853	0.073998
1	9.1099952	9.204086199999999	353756	9.131399	9.852094	0.203441	0.09242	0.007015	4.975334	19.239079	7.175645	0.002616	0.022279	0.062061
1	9.1099952	9.204086199999999	688961	9.188511	10.049961	0.185489	0.059694	0.010254	4.135224	31.427683	6.881236	0.003453	0.020187	0.057315000000000005
1	9.1099952	9.204086199999999	504562	9.153113	9.595464	0.231589	0.067595	0.008282	4.231992	11.709696	6.988128	0.004116	0.025302	0.044096
1	9.1099952	9.204086199999999	703665	9.152363	9.827969	0.133512	0.054094	0.015479	2.990727	24.255817	6.868784	0.004751	0.014588	0.19148
1	9.1099952	9.204086199999999	69102	9.142303	9.446801	0.194894	0.047295	0.011071	3.401665	8.581753	7.223104	0.005361	0.021318	0.2407155
1	9.1099952	9.204086199999999	712773	9.156223	9.835485	0.187216	0.066363	0.012701	2.988905	37.404781	6.683075	0.006671	0.020447	0.087736
1	9.1099952	9.204086199999999	327229	9.163044	9.800055	0.288622	0.116484	0.007957	3.541528	19.229372	6.809156	0.007325	0.031498	0.245091
1	9.1099952	9.204086199999999	665416	9.158214	10.252918	0.447814	0.238032	0.006929	4.272539	37.898411	7.010656	0.007809	0.048898	0.06788
1	9.1099952	9.204086199999999	705436	9.168571	9.933019	0.250463	0.076078	0.012757	2.965002	27.985275	6.890467	0.009069	0.027318	0.058364
1	9.1099952	9.204086199999999	704241	9.19353	9.820035	0.21166	0.083883	0.014773	2.513897	32.457375	6.743046	0.010661	0.023023	0.1815945
1	9.1099952	9.204086199999999	683762	9.149628	10.097699	0.355516	0.186829	0.011025	2.950042	40.996948	6.838844	0.013003	0.038856	0.16210249999999998
1	9.1099952	9.204086199999999	736543	9.151073	9.539845	0.059583	0.033896	0.021596	1.104012	40.436237	6.155691	0.01556	0.006511	0.25346
1	9.1099952	9.204086199999999	735541	9.134326	9.721714	0.295685	0.138216	0.019741	2.129668	14.89554	6.989115	0.020752	0.032371	0.295281
1	9.1099952	9.204086199999999	666243	9.160223	10.213196	0.381866	0.157956	0.011489	1.758445	41.465965	6.763829	0.03931	0.041687	0.113912
2	9.204086199999999	9.3184076	353757	9.249475	9.135561	0.025548	0.017063	0.018006	2.50982	8.334463	6.601555	0.001291	0.002762	0.030629499999999997
2	9.204086199999999	9.3184076	700074	9.241629	9.95072	0.138545	0.029334	0.009634	4.179216	20.518131	6.941072	0.002525	0.014991	0.066208
2	9.204086199999999	9.3184076	674730	9.262887	10.149081	0.29738	0.129459	0.009159	5.204597	33.999744	7.011706	0.003495	0.032104	0.206847
2	9.204086199999999	9.3184076	310144	9.269473	9.657731	0.183502	0.044289	0.011888	3.662366	13.75096	6.965759	0.004355	0.019796	0.1753505
2	9.204086199999999	9.3184076	571570	9.214303	9.774418	0.185953	0.160953	0.009614	3.391766	43.852867	6.409587	0.005145	0.020181	0.068217
2	9.204086199999999	9.3184076	668848	9.248755	10.103724	0.265681	0.101789	0.012087	3.742118	58.178352	6.911467	0.006039	0.028726	0.053886
2	9.204086199999999	9.3184076	282349	9.288013	9.203104	0.098721	0.04159	0.014842	2.160061	15.99093	6.638789	0.006735	0.010629	0.156986
2	9.204086199999999	9.3184076	659297	9.22476	10.263207	0.464695	0.162254	0.008541	4.23321	46.672943	6.951896	0.008254	0.050375	0.249966
