# ids, mstar, gas_mass, sfr, sfr_compact, gas_Z, rstar, rgas
0.000000000000000000e+00,1.222342967987060547e+01,1.372022342681884766e+01,1.764929389953613281e+01,1.273698139190673828e+01,4.006986971944570541e-03,1.519692993164062500e+02,8.781536254882812500e+02
1.000000000000000000e+00,1.211814212799072266e+01,1.021867942810058594e+01,1.212970092892646790e-01,0.000000000000000000e+00,6.266759242862462997e-03,4.435495376586914062e+01,1.211162033081054688e+02
2.000000000000000000e+00,1.157909965515136719e+01,1.059967613220214844e+01,8.302483558654785156e+00,1.852759242057800293e+00,1.335489377379417419e-02,1.889155578613281250e+01,6.865839385986328125e+01
4.000000000000000000e+00,1.119296455383300781e+01,1.076400279998779297e+01,9.351704716682434082e-01,0.000000000000000000e+00,1.575323194265365601e-02,3.889572858810424805e+00,4.407605361938476562e+01
5.000000000000000000e+00,1.119177627563476562e+01,1.038214015960693359e+01,2.311428338289260864e-01,0.000000000000000000e+00,9.148578159511089325e-03,9.112658500671386719e+00,5.863432312011718750e+01
6.000000000000000000e+00,1.146085166931152344e+01,9.346111297607421875e+00,4.684126675128936768e-01,5.362814757972955704e-03,1.726363971829414368e-02,1.179460048675537109e+01,6.563602447509765625e+01
7.000000000000000000e+00,1.129283332824707031e+01,9.086399078369140625e+00,5.584866274148225784e-03,0.000000000000000000e+00,1.950741931796073914e-02,1.122068691253662109e+01,3.228917312622070312e+01
1.000000000000000000e+01,1.107335281372070312e+01,1.039389228820800781e+01,2.995118498802185059e-01,5.227212980389595032e-02,1.573145948350429535e-02,7.035264968872070312e+00,2.529839706420898438e+01
1.900000000000000000e+01,1.069613456726074219e+01,1.064838314056396484e+01,7.682535648345947266e-01,6.525010466575622559e-01,3.263171389698982239e-02,8.407341003417968750e+00,2.801746177673339844e+01
2.000000000000000000e+01,1.097774028778076172e+01,1.006196212768554688e+01,8.838533401489257812e+00,8.721627235412597656e+00,4.672173038125038147e-02,8.469186782836914062e+00,5.112966537475585938e+00
2.200000000000000000e+01,1.073550128936767578e+01,9.087480545043945312e+00,1.171602532267570496e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.652651786804199219e+00,9.566286468505859375e+01
2.400000000000000000e+01,1.054268264770507812e+01,8.318001747131347656e+00,8.454183116555213928e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.239493608474731445e+00,1.209116439819335938e+02
2.900000000000000000e+01,1.053366947174072266e+01,1.027111721038818359e+01,7.797764301300048828e+00,6.366137504577636719e+00,2.486342005431652069e-02,7.643656730651855469e+00,9.691156387329101562e+00
3.300000000000000000e+01,1.014733028411865234e+01,1.001430130004882812e+01,1.462431430816650391e+00,1.376570224761962891e+00,3.127075731754302979e-02,2.867555141448974609e+00,1.817774581909179688e+01
3.500000000000000000e+01,1.054617309570312500e+01,8.837293624877929688e+00,3.771035373210906982e-01,3.771035373210906982e-01,4.685544967651367188e-02,5.143574237823486328e+00,1.725247263908386230e+00
3.800000000000000000e+01,1.023132133483886719e+01,9.505263328552246094e+00,1.517510890960693359e+00,1.504885196685791016e+00,3.379029408097267151e-02,3.566826105117797852e+00,2.852882385253906250e+00
